z_b11,z_b12,modeled_y
1.0,-0.0171929824561404,-0.305607436090253
1.01345052599791,0.0101754385964912,-0.22434284689549822
1.03685002319659,0.0171929824561404,-0.08038174342802851
1.05713414336168,0.023859649122807,0.047071438263495136
1.07714815514336,0.0378947368421053,0.17524755999198227
1.09709674591946,0.0547368421052632,0.30539684749597606
1.11634573311954,0.0926315789473684,0.4332458186486883
1.13891105590103,0.164561403508772,0.585952719158072
1.15494386274471,0.305263157894737,0.6963088892746847
1.16805300966978,0.56280701754386,0.7876874197149744
1.17800463145775,0.950526315789474,0.8577447613660234
1.18617971203142,1.26280701754386,0.9157402874123579
1.19183738856164,1.68491228070175,0.9561117236840082
